0.0	2.0	N
2.0	4.0	N
4.0	6.0	F:maj
6.0	7.5	F:maj
7.5	10.0	A:min
10.0	12.0	D:min
12.0	14.0	G:sus2
14.0	15.0	G:min
15.0	16.0	C:maj
16.0	17.5	C:maj
17.5	20.0	F:maj
20.0	22.0	F:sus2
22.0	23.0	F:maj(9)
23.0	24.0	Bb:maj7
24.0	25.5	Bb:maj7
25.5	28.0	Ab:maj7/7
28.0	30.0	D:7
30.0	32.0	D:sus4
32.0	34.0	G:min
34.0	36.0	G:min
36.0	37.5	N
37.5	39.5	G:min7
39.5	41.0	C:9
41.0	42.0	F:maj
42.0	43.0	F:maj
43.0	44.0	A:min
44.0	45.5	D:min
45.5	48.0	G:sus4
48.0	50.0	F:maj
50.0	51.5	A:min
51.5	53.5	D:min
53.5	55.0	G:min(9)
55.0	56.0	C:maj
56.0	58.0	F:maj
58.0	59.5	F:7
59.5	61.0	Bb:maj
61.0	62.0	G:min7
62.0	62.5	G:min7
62.5	64.0	D:7
64.0	65.5	G:min
65.5	67.0	D:7
67.0	68.0	G:min
68.0	70.0	G:min7
70.0	72.0	C:sus4
72.0	73.0	N
73.0	74.0	D:min
74.0	76.0	G:min
76.0	78.0	C:9
78.0	79.0	N
79.0	80.0	D:min
80.0	82.0	G:min7
82.0	82.5	G:min7
82.5	84.0	D:7
84.0	86.0	G:min
86.0	88.0	G:min7
88.0	90.0	G:min
90.0	91.5	C:maj
91.5	94.0	Bb:sus4(b7,9)
94.0	96.0	F:maj
96.0	97.5	A:min
97.5	99.0	D:min
99.0	100.0	G:sus2
100.0	102.0	C:maj(9)
102.0	104.0	F:maj
104.0	105.0	A:min
105.0	106.0	D:min
106.0	108.0	G:min(9)
108.0	110.0	C:11
110.0	111.5	F:maj
111.5	113.0	F:7
113.0	114.0	Bb:maj
114.0	116.0	G:min7
116.0	117.5	D:7/3
117.5	119.0	G:min
119.0	120.0	F#:aug
120.0	122.0	G:min
122.0	124.0	G:sus4
124.0	126.0	N
126.0	128.0	C:sus4(b7)
128.0	130.0	N
130.0	132.0	N
132.0	134.0	C:min
134.0	136.0	C:min
136.0	137.5	N
137.5	140.0	F:maj
140.0	140.5	F:maj
140.5	142.0	A:min
142.0	143.5	D:min
143.5	145.0	G:min7
145.0	146.0	A:min/b3
146.0	148.0	F:maj
148.0	149.5	A:min
149.5	151.0	D:min
151.0	152.0	G:min(9)
152.0	154.0	C:maj
154.0	156.0	F:maj
156.0	157.5	F:7
157.5	159.0	Bb:maj6
159.0	160.0	G:min7
160.0	162.0	G:maj7/5
162.0	163.5	G:min
163.5	165.0	D:aug
165.0	166.0	G:min
166.0	168.0	G:min11
168.0	170.0	F:maj/5
170.0	172.0	D:min7
172.0	174.0	G:min7
174.0	176.0	C:sus4
176.0	178.0	D:min
178.0	180.0	G:min
180.0	182.0	D:7
182.0	184.0	G:min
184.0	186.0	G:min
186.0	188.0	G:min
188.0	189.5	C:7
189.5	191.0	Bb:sus4(b7,9)
191.0	192.0	F:maj
192.0	194.0	A:min
194.0	195.5	D:min
195.5	197.0	G:sus4
197.0	198.0	C:maj
198.0	200.0	F:maj
200.0	201.5	F:maj
201.5	203.0	Bb:maj
203.0	204.0	G:min7
204.0	206.0	G:min
206.0	208.0	G:maj
208.0	210.0	G:maj
210.0	212.0	G:maj
212.0	214.0	G:maj
214.0	214.5	N
